date|value
2018-10-08|3.32
2018-10-09|3.41
2018-10-10|3.51
2018-10-11|3.58
2018-10-12|3.54
2018-10-15|3.49
2018-10-16|3.45
2018-10-17|3.45
2018-10-18|3.51
2018-10-19|3.51
2018-10-22|3.52
2018-10-23|3.65
2018-10-24|3.68
2018-10-25|3.72
2018-10-26|3.85
2018-10-29|3.84
2018-10-30|3.89
2018-10-31|3.81
2018-11-01|3.81
2018-11-02|3.72
2018-11-05|3.72
2018-11-06|3.68
2018-11-07|3.60
2018-11-08|3.57
2018-11-09|3.71
2018-11-12|3.71
2018-11-13|3.89
2018-11-14|3.99
2018-11-15|4.11
2018-11-16|4.18
2018-11-19|4.25
2018-11-20|4.33
2018-11-21|4.24
2018-11-22|4.25
2018-11-23|4.29
2018-11-26|4.26
2018-11-27|4.31
2018-11-28|4.25
2018-11-29|4.22
2018-11-30|4.29
2018-12-03|4.20
2018-12-04|4.29
2018-12-05|4.29
2018-12-06|4.50
2018-12-07|4.50
2018-12-10|4.56
2018-12-11|4.48
2018-12-12|4.40
2018-12-13|4.39
2018-12-14|4.46
2018-12-17|4.58
2018-12-18|4.72
2018-12-19|4.84
2018-12-20|5.11
2018-12-21|5.22
2018-12-24|5.35
2018-12-25|.
2018-12-26|5.37
2018-12-27|5.38
2018-12-28|5.30
2018-12-31|5.33
2019-01-01|.
2019-01-02|5.35
2019-01-03|5.44
2019-01-04|5.05
2019-01-07|4.83
2019-01-08|4.65
2019-01-09|4.52
2019-01-10|4.54
2019-01-11|4.55
2019-01-14|4.60
2019-01-15|4.55
2019-01-16|4.44
2019-01-17|4.40
2019-01-18|4.27
2019-01-21|4.27
2019-01-22|4.41
2019-01-23|4.39
2019-01-24|4.45
2019-01-25|4.34
2019-01-28|4.41
2019-01-29|4.40
2019-01-30|4.36
2019-01-31|4.37
2019-02-01|4.29
2019-02-04|4.25
2019-02-05|4.15
2019-02-06|4.13
2019-02-07|4.29
2019-02-08|4.32
2019-02-11|4.28
2019-02-12|4.17
2019-02-13|4.12
2019-02-14|4.17
2019-02-15|4.12
2019-02-18|4.12
2019-02-19|4.11
2019-02-20|4.08
2019-02-21|4.04
2019-02-22|4.05
2019-02-25|4.00
2019-02-26|4.01
2019-02-27|3.94
2019-02-28|3.92
2019-03-01|3.86
2019-03-04|3.90
2019-03-05|3.91
