date|value
2019-02-25|2.67
2019-02-26|2.64
2019-02-27|2.69
2019-02-28|2.73
2019-03-01|2.76
2019-03-04|2.72
2019-03-05|2.72
2019-03-06|2.69
2019-03-07|2.64
2019-03-08|2.62
2019-03-11|2.64
2019-03-12|2.61
2019-03-13|2.61
2019-03-14|2.63
2019-03-15|2.59
2019-03-18|2.60
2019-03-19|2.61
2019-03-20|2.54
2019-03-21|2.54
2019-03-22|2.44
2019-03-25|2.43
2019-03-26|2.41
2019-03-27|2.39
2019-03-28|2.39
2019-03-29|2.41
2019-04-01|2.49
2019-04-02|2.48
2019-04-03|2.52
2019-04-04|2.51
2019-04-05|2.50
2019-04-08|2.52
2019-04-09|2.51
2019-04-10|2.48
2019-04-11|2.51
2019-04-12|2.56
2019-04-15|2.55
2019-04-16|2.60
2019-04-17|2.59
2019-04-18|2.57
2019-04-19|.
2019-04-22|2.59
2019-04-23|2.57
2019-04-24|2.53
2019-04-25|2.54
2019-04-26|2.51
2019-04-29|2.54
2019-04-30|2.51
2019-05-01|2.52
2019-05-02|2.55
2019-05-03|2.54
2019-05-06|2.51
2019-05-07|2.45
2019-05-08|2.49
2019-05-09|2.45
2019-05-10|2.47
2019-05-13|2.40
2019-05-14|2.42
2019-05-15|2.37
2019-05-16|2.40
2019-05-17|2.39
2019-05-20|2.41
2019-05-21|2.43
2019-05-22|2.39
2019-05-23|2.31
2019-05-24|2.32
2019-05-27|.
2019-05-28|2.26
2019-05-29|2.25
2019-05-30|2.22
2019-05-31|2.14
2019-06-03|2.07
2019-06-04|2.12
2019-06-05|2.12
2019-06-06|2.12
2019-06-07|2.09
2019-06-10|2.15
2019-06-11|2.15
2019-06-12|2.13
2019-06-13|2.10
2019-06-14|2.09
2019-06-17|2.09
2019-06-18|2.06
2019-06-19|2.03
2019-06-20|2.01
2019-06-21|2.07
2019-06-24|2.02
2019-06-25|2.00
2019-06-26|2.05
2019-06-27|2.01
2019-06-28|2.00
2019-07-01|2.03
2019-07-02|1.98
2019-07-03|1.96
2019-07-04|.
2019-07-05|2.04
2019-07-08|2.05
2019-07-09|2.07
2019-07-10|2.07
2019-07-11|2.13
2019-07-12|2.12
2019-07-15|2.09
2019-07-16|2.13
2019-07-17|2.06
2019-07-18|2.04
2019-07-19|2.05
2019-07-22|2.05
2019-07-23|2.08
2019-07-24|2.05
2019-07-25|2.08
2019-07-26|2.08
2019-07-29|2.06
2019-07-30|2.06
2019-07-31|2.02
2019-08-01|1.90
2019-08-02|1.86
2019-08-05|1.75
2019-08-06|1.73
2019-08-07|1.71
2019-08-08|1.72
2019-08-09|1.74
2019-08-12|1.65
2019-08-13|1.68
2019-08-14|1.59
2019-08-15|1.52
2019-08-16|1.55
2019-08-19|1.60
2019-08-20|1.55
2019-08-21|1.59
2019-08-22|1.62
2019-08-23|1.52
2019-08-26|1.54
2019-08-27|1.49
